file,type,infrastructure,commits,first_commit,last_commit,age_days,active_span_days,total_insertions,total_deletions,bugfix_commits,feature_commits,refactor_commits,modified_last_30d
_site/contracts-ai.html,HTML,False,3,2026-02-19,2026-03-16,26,25,1261,1261,0,2,0,True
_site/docparse.html,HTML,False,3,2026-02-19,2026-03-16,26,25,903,903,0,2,0,True
_site/document-intelligence/index.html,HTML,False,3,2026-03-09,2026-03-16,8,7,432,432,0,1,0,True
_site/ecommerce/index.html,HTML,False,2,2026-02-20,2026-03-16,25,24,1,1,0,1,0,True
_site/extractor.html,HTML,False,3,2026-02-19,2026-03-16,26,25,537,537,0,2,0,True
_site/index.html,HTML,False,6,2026-02-19,2026-03-16,26,25,727,727,0,2,0,True
_site/streaming/ambient_assistant/browser/index.html,HTML,False,2,2026-03-09,2026-03-09,8,0,1,1,0,0,1,True
_site/streaming/ambient_assistant/index.html,HTML,False,2,2026-03-09,2026-03-16,8,7,1,1,0,1,0,True
_site/streaming/claude_chat/browser/index.html,HTML,False,2,2026-03-09,2026-03-09,8,0,1,1,0,0,1,True
_site/streaming/claude_chat/index.html,HTML,False,2,2026-02-19,2026-03-16,26,25,1,1,0,1,0,True
_site/streaming/gemini_live/browser/index.html,HTML,False,2,2026-03-09,2026-03-09,8,0,1,1,0,0,1,True
_site/streaming/gemini_live/index.html,HTML,False,2,2026-02-19,2026-03-16,26,25,1,1,0,1,0,True
_site/streaming/index.html,HTML,False,3,2026-03-09,2026-03-16,8,7,153,153,0,1,0,True
_site/streaming/safe_agent/browser/index.html,HTML,False,2,2026-03-09,2026-03-09,8,0,1,1,0,0,1,True
_site/streaming/safe_agent/index.html,HTML,False,2,2026-02-19,2026-03-16,26,25,1,1,0,1,0,True
_site/streaming/shared/audio-worklet.js,JavaScript,False,2,2026-02-19,2026-03-16,26,25,1,1,0,1,0,True
_site/streaming/shared/gemini-live-core.js,JavaScript,False,2,2026-02-20,2026-03-16,25,24,1,1,0,1,0,True
_site/streaming/shared/nav.js,JavaScript,False,2,2026-02-19,2026-02-20,26,1,1,1,0,0,0,True
_site/streaming/shared/streaming-ui.js,JavaScript,False,2,2026-03-02,2026-03-16,15,14,1,1,0,1,0,True
_site/streaming/transcription/index.html,HTML,False,2,2026-02-19,2026-02-20,26,1,1,1,0,0,0,True
_site/streaming/voice_analytics/index.html,HTML,False,2,2026-02-19,2026-02-20,26,1,1,1,0,0,0,True
_site/streaming/voice_docparse/browser/index.html,HTML,False,2,2026-03-09,2026-03-09,8,0,1,1,0,0,1,True
_site/streaming/voice_docparse/index.html,HTML,False,2,2026-02-19,2026-03-16,26,25,1,1,0,1,0,True
_site/streaming/voice_pipeline/index.html,HTML,False,2,2026-02-19,2026-02-20,26,1,1,1,0,0,0,True
_site/verify.html,HTML,False,3,2026-02-19,2026-03-16,26,25,1219,1219,0,2,0,True
_site/website_builder/ailang/docparse/services/direct_ai_parser.ail,AILANG,False,2,2026-03-09,2026-03-16,8,7,1,1,0,1,0,True
_site/website_builder/ailang/docparse/services/docparse_browser.ail,AILANG,False,2,2026-03-09,2026-03-16,8,7,1,1,0,1,0,True
_site/website_builder/ailang/docparse/services/docx_parser.ail,AILANG,False,2,2026-03-09,2026-03-16,8,7,1,1,0,1,0,True
_site/website_builder/ailang/docparse/services/format_router.ail,AILANG,False,2,2026-03-09,2026-03-16,8,7,1,1,0,1,0,True
_site/website_builder/ailang/docparse/services/layout_ai.ail,AILANG,False,2,2026-03-09,2026-03-16,8,7,1,1,0,1,0,True
_site/website_builder/ailang/docparse/services/output_formatter.ail,AILANG,False,2,2026-03-09,2026-03-16,8,7,1,1,0,1,0,True
_site/website_builder/ailang/docparse/services/pptx_parser.ail,AILANG,False,2,2026-03-09,2026-03-16,8,7,1,1,0,1,0,True
_site/website_builder/ailang/docparse/services/xlsx_parser.ail,AILANG,False,2,2026-03-09,2026-03-16,8,7,1,1,0,1,0,True
_site/website_builder/ailang/docparse/services/zip_extract.ail,AILANG,False,2,2026-03-09,2026-03-16,8,7,1,1,0,1,0,True
_site/website_builder/ailang/docparse/types/document.ail,AILANG,False,2,2026-03-09,2026-03-16,8,7,1,1,0,1,0,True
_site/website_builder/ailang/website_builder/services/content_extractor.ail,AILANG,False,1,2026-03-16,2026-03-16,1,0,0,1,0,1,0,True
_site/website_builder/ailang/website_builder/services/html_generator.ail,AILANG,False,1,2026-03-16,2026-03-16,1,0,0,1,0,1,0,True
_site/website_builder/ailang/website_builder/services/site_structurer.ail,AILANG,False,1,2026-03-16,2026-03-16,1,0,0,1,0,1,0,True
_site/website_builder/ailang/website_builder/services/validator.ail,AILANG,False,1,2026-03-16,2026-03-16,1,0,0,1,0,1,0,True
_site/website_builder/ailang/website_builder/services/website_builder_browser.ail,AILANG,False,1,2026-03-16,2026-03-16,1,0,0,1,0,1,0,True
_site/website_builder/ailang/website_builder/types/content.ail,AILANG,False,1,2026-03-16,2026-03-16,1,0,0,1,0,1,0,True
_site/website_builder/assets/index-B7XGunaj.js,JavaScript,False,2,2026-03-05,2026-03-09,12,4,1452,1452,0,1,0,True
_site/website_builder/assets/index-CKUtbCFC.js,JavaScript,False,2,2026-03-10,2026-03-10,7,0,3108,3108,0,0,0,True
_site/website_builder/assets/index-CledcnBI.js,JavaScript,False,1,2026-03-10,2026-03-10,7,0,0,1563,0,0,0,True
_site/website_builder/assets/index-D7mYYhBE.js,JavaScript,False,1,2026-03-16,2026-03-16,1,0,0,3145,0,1,0,True
_site/website_builder/assets/index-DEu4JXOg.js,JavaScript,False,1,2026-03-09,2026-03-09,8,0,1563,0,0,0,0,True
_site/website_builder/assets/index-DbmuY2Vo.js,JavaScript,False,1,2026-03-12,2026-03-12,5,0,3145,0,0,0,0,True
_site/website_builder/assets/index-DsJgUSVd.js,JavaScript,False,2,2026-03-11,2026-03-12,6,1,3145,3145,0,0,0,True
_site/website_builder/assets/index-bCQqQ2L6.js,JavaScript,False,2,2026-03-10,2026-03-11,7,1,3108,3108,0,0,0,True
_site/website_builder/index.html,HTML,False,12,2026-03-05,2026-03-16,12,11,51,51,2,2,1,True
_site/website_builder/wasm/ailang-repl.js,JavaScript,False,2,2026-03-05,2026-03-16,12,11,1,1,0,2,0,True
_site/website_builder/wasm/ailang/website_builder/content.ail,AILANG,False,1,2026-03-05,2026-03-05,12,0,1,0,0,1,0,True
_site/website_builder/wasm/ailang/website_builder/content_extractor.ail,AILANG,False,1,2026-03-05,2026-03-05,12,0,1,0,0,1,0,True
_site/website_builder/wasm/ailang/website_builder/html_generator.ail,AILANG,False,1,2026-03-05,2026-03-05,12,0,1,0,0,1,0,True
